x[m], y[m], u[m/s], v[m/s]
0.110833086, 0.0016631111, 0.247026861, 0.000588073686
0.110833086, 0.0033326745, 0.35261938, 0.00065066712
0.110833086, 0.0050022304, 0.428624213, -0.000549956749
0.110833086, 0.0066717938, 0.43919456, -0.000371877279
0.110833086, 0.0083413497, 0.424992949, 0.00173638551
0.110833086, 0.010010913, 0.4216021, 0.00336705125
0.110833086, 0.0116804689, 0.400300145, -0.00058641372
0.110833086, 0.0133500323, 0.360275894, 0.000565478112
0.110833086, 0.0150195882, 0.341912389, 0.00136024156
0.110833086, 0.0166891515, 0.310100973, -0.000172854008
0.110833086, 0.0183587074, 0.148797095, -0.0024126051
0.110833086, 0.0200282708, 0.069963403, 0.00106169435
0.110833086, 0.0216978341, 0.0287357662, 0.00092007342

0.110833086, 0.0016631111, 0.27055192, 0.00276606483
0.110833086, 0.0033326745, 0.312297344, -1.24504904e-05
0.110833086, 0.0050022304, 0.372399181, 0.0048376713
0.110833086, 0.0066717938, 0.371324241, 0.00214561913
0.110833086, 0.0083413497, 0.375879049, 0.00463307649
0.110833086, 0.010010913, 0.381084233, 0.00480680261
0.110833086, 0.0116804689, 0.379575491, 0.00357924425
0.110833086, 0.0133500323, 0.349778414, 0.00364783639
0.110833086, 0.0150195882, 0.388459414, 0.00497988146
0.110833086, 0.0166891515, 0.283386648, -0.00173066358
0.110833086, 0.0183587074, 0.0740628243, -0.00437521189
0.110833086, 0.0200282708, 0.0356887542, -0.00251333695
0.110833086, 0.0216978341, 0.0147804339, -0.000769001024

0.110833086, 0.0016631111, 0.20649825, -0.00150041003
0.110833086, 0.0033326745, 0.312737882, 0.000527657976
0.110833086, 0.0050022304, 0.359704524, -0.0033178071
0.110833086, 0.0066717938, 0.359692633, -0.00514494535
0.110833086, 0.0083413497, 0.363212407, -0.002958989
0.110833086, 0.010010913, 0.372571141, 0.00175691186
0.110833086, 0.0116804689, 0.374435306, 0.00227190228
0.110833086, 0.0133500323, 0.369404972, -0.000509396079
0.110833086, 0.0150195882, 0.332629144, 0.00079039071
0.110833086, 0.0166891515, 0.266503781, 0.00250809896
0.110833086, 0.0183587074, 0.19115825, -0.000294759666
0.110833086, 0.0200282708, 0.0846047327, -0.00221032323
0.110833086, 0.0216978341, 0.0230886824, -0.0015430653

0.110833086, 0.0016631111, 0.228534445, -0.0021810946
0.110833086, 0.0033326745, 0.292348266, -0.00236673397
0.110833086, 0.0050022304, 0.333655655, 0.00114767603
0.110833086, 0.0066717938, 0.327474683, 0.0018010505
0.110833086, 0.0083413497, 0.332628339, 0.00188953395
0.110833086, 0.010010913, 0.315495193, -0.00168188708
0.110833086, 0.0116804689, 0.316132277, -0.000868817558
0.110833086, 0.0133500323, 0.309454054, 0.00282086385
0.110833086, 0.0150195882, 0.290940762, 0.00228500157
0.110833086, 0.0166891515, 0.246599719, 0.000169013176
0.110833086, 0.0183587074, 0.154792622, -0.00373428198
0.110833086, 0.0200282708, 0.109822907, -0.00362637546
0.110833086, 0.0216978341, 0.0373927206, -0.0025010854

0.110833086, 0.0016631111, 0.159331337, -0.00190272171
0.110833086, 0.0033326745, 0.218622655, -0.000401841651
0.110833086, 0.0050022304, 0.2730003, -0.000657412282
0.110833086, 0.0066717938, 0.254680485, 0.000511978345
0.110833086, 0.0083413497, 0.272182584, 0.00118912628
0.110833086, 0.010010913, 0.307349592, 0.00356518151
